player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Season,League
Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,36.0,36.0,3195.0,3.0,2.0,0.0,0.0,3.0,0.0,0.08,0.06,0.14,0.08,0.14,2.7,2.7,3.9,0.08,0.11,0.19,0.08,0.19,35.5,44.0,12.0,0.0,27.3,1.24,0.34,0.07,0.25,0.06,0.3,0.3,1587.0,1962.0,80.9,26851.0,11857.0,792.0,912.0,86.8,623.0,752.0,82.8,149.0,248.0,60.1,-1.9,34.0,115.0,63.0,9.0,224.0,1608.0,354.0,47.0,4.0,274.0,29.0,54.0,1.0,0.0,0.0,0.0,1322.0,307.0,333.0,1299.0,310.0,40.0,306.0,4.0,3.0,34.0,57.0,52.0,71.0,2.0,59.0,7.0,1.0,2.0,2.0,6.0,0.17,5.0,1.0,0.0,0.0,0.0,0.0,46.0,32.0,32.0,11.0,3.0,18.0,45.0,40.0,27.0,421.0,115.0,27.3,300.0,86.0,35.0,61.0,10.0,0.0,51.0,36.0,98.0,1.0,2298.0,138.0,678.0,1071.0,682.0,78.0,1950.0,27.0,43.0,62.8,28.0,1.0,1471.0,7810.0,4396.0,1467.0,1351.0,92.1,27.0,19.0,0.0,12.0,14.0,11.0,0.0,0.0,0.0,331.0,9.0,10.0,47.4,2018/2019,Premier League
Sergio Agüero,ar ARG,FW,Manchester City,30,1988,33.0,31.0,2459.0,21.0,8.0,2.0,2.0,4.0,0.0,0.77,0.29,1.06,0.7,0.99,20.7,19.2,5.5,0.76,0.2,0.96,0.7,0.91,27.3,118.0,41.0,3.0,34.7,4.32,1.5,0.16,0.46,0.16,0.3,-0.2,665.0,785.0,84.7,9245.0,1686.0,393.0,445.0,88.3,225.0,262.0,85.9,20.0,33.0,60.6,2.5,34.0,37.0,44.0,1.0,64.0,736.0,49.0,0.0,6.0,201.0,3.0,15.0,1.0,0.0,0.0,0.0,612.0,112.0,61.0,75.0,668.0,18.0,8.0,8.0,3.0,9.0,17.0,21.0,74.0,2.71,51.0,1.0,6.0,8.0,7.0,17.0,0.62,12.0,0.0,2.0,1.0,2.0,0.0,17.0,14.0,3.0,6.0,8.0,4.0,10.0,40.0,6.0,462.0,123.0,26.6,26.0,154.0,282.0,22.0,6.0,0.0,16.0,7.0,1.0,0.0,1142.0,5.0,28.0,426.0,779.0,241.0,1090.0,29.0,55.0,52.7,32.0,5.0,903.0,5906.0,3194.0,1389.0,892.0,64.2,66.0,65.0,0.0,22.0,25.0,26.0,0.0,0.0,0.0,129.0,11.0,14.0,44.0,2018/2019,Premier League
Nathan Aké,nl NED,DF,Bournemouth,23,1995,38.0,38.0,3411.0,4.0,0.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11,3.4,3.4,0.8,0.09,0.02,0.11,0.09,0.11,37.9,22.0,8.0,0.0,36.4,0.58,0.21,0.18,0.5,0.15,0.6,0.6,1469.0,1701.0,86.4,30143.0,10917.0,453.0,510.0,88.8,797.0,873.0,91.3,212.0,296.0,71.6,-0.8,5.0,92.0,7.0,3.0,71.0,1618.0,83.0,51.0,0.0,216.0,28.0,8.0,0.0,0.0,0.0,0.0,1286.0,163.0,252.0,1283.0,234.0,104.0,32.0,6.0,0.0,33.0,17.0,17.0,17.0,0.45,14.0,0.0,0.0,1.0,1.0,2.0,0.05,0.0,0.0,0.0,0.0,1.0,1.0,60.0,37.0,42.0,15.0,3.0,17.0,35.0,48.6,18.0,395.0,116.0,29.4,281.0,102.0,12.0,70.0,37.0,2.0,33.0,27.0,237.0,0.0,2147.0,358.0,1344.0,779.0,142.0,44.0,2070.0,3.0,6.0,50.0,3.0,0.0,1262.0,6673.0,3410.0,1342.0,1283.0,95.6,16.0,5.0,0.0,28.0,21.0,2.0,1.0,1.0,0.0,353.0,75.0,46.0,62.0,2018/2019,Premier League
Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,27.0,18.0,1625.0,2.0,2.0,0.0,0.0,3.0,0.0,0.11,0.11,0.22,0.11,0.22,1.1,1.1,3.1,0.06,0.17,0.23,0.06,0.23,18.1,19.0,7.0,0.0,36.8,1.05,0.39,0.11,0.29,0.06,0.9,0.9,459.0,776.0,59.1,8932.0,3604.0,224.0,285.0,78.6,144.0,222.0,64.9,80.0,207.0,38.6,-1.1,30.0,48.0,29.0,12.0,83.0,745.0,31.0,6.0,1.0,205.0,40.0,81.0,10.0,0.0,0.0,0.0,423.0,106.0,247.0,60.0,664.0,29.0,14.0,2.0,10.0,22.0,24.0,62.0,43.0,2.38,37.0,3.0,0.0,2.0,0.0,4.0,0.22,4.0,0.0,0.0,0.0,0.0,0.0,37.0,23.0,16.0,15.0,6.0,12.0,43.0,27.9,31.0,393.0,101.0,25.7,141.0,166.0,86.0,30.0,3.0,0.0,27.0,23.0,19.0,0.0,991.0,42.0,198.0,429.0,428.0,27.0,963.0,22.0,45.0,48.9,24.0,3.0,765.0,4444.0,1955.0,835.0,676.0,81.0,27.0,36.0,0.0,10.0,20.0,2.0,0.0,0.0,0.0,157.0,9.0,12.0,42.9,2018/2019,Premier League
Toby Alderweireld,be BEL,DF,Tottenham,29,1989,34.0,33.0,2922.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.6,0.03,0.02,0.05,0.03,0.05,32.5,17.0,6.0,0.0,35.3,0.52,0.18,0.0,0.0,0.07,-1.1,-1.1,2067.0,2342.0,88.3,50426.0,14985.0,431.0,463.0,93.1,1123.0,1190.0,94.4,511.0,677.0,75.5,-0.6,7.0,193.0,23.0,1.0,127.0,2262.0,80.0,70.0,2.0,258.0,96.0,3.0,0.0,0.0,0.0,0.0,1714.0,159.0,469.0,449.0,1752.0,109.0,10.0,7.0,8.0,44.0,7.0,13.0,30.0,0.92,24.0,0.0,1.0,5.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,41.0,23.0,32.0,9.0,0.0,9.0,29.0,31.0,20.0,215.0,76.0,35.3,140.0,65.0,10.0,54.0,26.0,1.0,28.0,20.0,162.0,1.0,2632.0,297.0,1387.0,1309.0,115.0,20.0,2554.0,2.0,4.0,50.0,2.0,0.0,1830.0,9346.0,4915.0,1925.0,1899.0,98.6,3.0,3.0,0.0,10.0,2.0,1.0,0.0,1.0,1.0,356.0,33.0,36.0,47.8,2018/2019,Premier League
Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29.0,27.0,2462.0,1.0,12.0,0.0,0.0,3.0,0.0,0.04,0.44,0.48,0.04,0.48,1.5,1.5,6.2,0.05,0.23,0.28,0.05,0.28,27.4,29.0,9.0,9.0,31.0,1.06,0.33,0.03,0.11,0.05,-0.5,-0.5,1644.0,2213.0,74.3,34938.0,13658.0,575.0,661.0,87.0,763.0,936.0,81.5,293.0,560.0,52.3,5.8,48.0,129.0,59.0,25.0,197.0,1781.0,432.0,44.0,5.0,321.0,113.0,111.0,73.0,22.0,15.0,2.0,1152.0,324.0,737.0,178.0,1669.0,47.0,315.0,3.0,13.0,66.0,32.0,78.0,84.0,3.07,52.0,23.0,5.0,2.0,1.0,17.0,0.62,13.0,4.0,0.0,0.0,0.0,0.0,57.0,28.0,29.0,21.0,7.0,25.0,73.0,34.2,48.0,368.0,120.0,32.6,177.0,126.0,65.0,35.0,3.0,1.0,32.0,33.0,65.0,1.0,2492.0,84.0,585.0,1171.0,862.0,44.0,2056.0,20.0,39.0,51.3,23.0,3.0,1608.0,6356.0,3731.0,1647.0,1543.0,93.7,28.0,16.0,0.0,14.0,8.0,4.0,0.0,0.0,0.0,290.0,6.0,15.0,28.6,2018/2019,Premier League
Alisson,br BRA,GK,Liverpool,25,1992,38.0,38.0,3420.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.0,1262.0,82.3,30318.0,16760.0,110.0,112.0,98.2,571.0,583.0,97.9,357.0,565.0,63.2,0.0,0.0,12.0,0.0,0.0,0.0,969.0,293.0,85.0,0.0,153.0,63.0,0.0,0.0,0.0,0.0,0.0,793.0,100.0,369.0,100.0,924.0,1.0,0.0,197.0,2.0,33.0,6.0,2.0,4.0,0.11,1.0,3.0,0.0,0.0,0.0,2.0,0.05,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1341.0,1133.0,1335.0,8.0,0.0,0.0,1049.0,1.0,1.0,100.0,1.0,0.0,777.0,2859.0,1587.0,671.0,671.0,100.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,223.0,1.0,0.0,100.0,2018/2019,Premier League
Dele Alli,eng ENG,"MF,FW",Tottenham,22,1996,25.0,22.0,1825.0,5.0,3.0,0.0,0.0,4.0,0.0,0.25,0.15,0.39,0.25,0.39,5.3,5.3,2.4,0.26,0.12,0.38,0.26,0.38,20.3,40.0,18.0,1.0,45.0,1.97,0.89,0.13,0.28,0.13,-0.3,-0.3,843.0,1050.0,80.3,13914.0,3358.0,413.0,483.0,85.5,346.0,409.0,84.6,62.0,100.0,62.0,0.6,28.0,81.0,32.0,2.0,96.0,1018.0,32.0,9.0,13.0,255.0,18.0,17.0,2.0,0.0,0.0,0.0,815.0,97.0,138.0,45.0,943.0,37.0,11.0,6.0,7.0,15.0,24.0,38.0,63.0,3.11,47.0,1.0,5.0,3.0,5.0,5.0,0.25,3.0,0.0,0.0,1.0,1.0,0.0,32.0,26.0,8.0,13.0,11.0,6.0,26.0,23.1,20.0,470.0,127.0,27.0,119.0,218.0,133.0,36.0,4.0,1.0,32.0,16.0,15.0,0.0,1313.0,31.0,168.0,667.0,567.0,104.0,1282.0,28.0,57.0,49.1,33.0,6.0,1001.0,5342.0,2817.0,1214.0,965.0,79.5,41.0,33.0,0.0,23.0,20.0,3.0,0.0,0.0,0.0,180.0,11.0,18.0,37.9,2018/2019,Premier League
Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,24,1994,10.0,9.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.6,0.8,0.2,0.1,0.3,0.19,0.29,8.4,19.0,8.0,0.0,42.1,2.25,0.95,0.0,0.0,0.09,-1.7,-1.6,188.0,260.0,72.3,3320.0,863.0,91.0,109.0,83.5,67.0,87.0,77.0,26.0,40.0,65.0,-0.8,12.0,16.0,14.0,9.0,19.0,256.0,4.0,0.0,2.0,71.0,13.0,19.0,1.0,0.0,1.0,0.0,189.0,40.0,31.0,235.0,11.0,9.0,1.0,2.0,0.0,5.0,7.0,15.0,28.0,3.32,22.0,0.0,1.0,2.0,2.0,2.0,0.24,0.0,0.0,0.0,1.0,1.0,0.0,17.0,11.0,6.0,9.0,2.0,3.0,11.0,27.3,8.0,231.0,61.0,26.4,43.0,130.0,58.0,16.0,2.0,0.0,14.0,4.0,5.0,0.0,384.0,9.0,60.0,168.0,199.0,30.0,380.0,7.0,16.0,43.8,10.0,4.0,294.0,2515.0,1610.0,391.0,242.0,61.9,21.0,14.0,0.0,6.0,17.0,4.0,0.0,0.0,0.0,84.0,4.0,8.0,33.3,2018/2019,Premier League
Marcos Alonso,es ESP,DF,Chelsea,27,1990,31.0,31.0,2759.0,2.0,4.0,0.0,0.0,6.0,0.0,0.07,0.13,0.2,0.07,0.2,2.7,2.7,3.9,0.09,0.13,0.22,0.09,0.22,30.7,43.0,7.0,8.0,16.3,1.4,0.23,0.05,0.29,0.06,-0.7,-0.7,1838.0,2226.0,82.6,29324.0,9874.0,984.0,1071.0,91.9,713.0,858.0,83.1,114.0,224.0,50.9,0.1,31.0,114.0,23.0,9.0,129.0,1950.0,276.0,26.0,2.0,402.0,48.0,77.0,0.0,0.0,0.0,0.0,1544.0,326.0,356.0,1674.0,177.0,85.0,250.0,5.0,4.0,41.0,39.0,61.0,61.0,1.99,52.0,1.0,0.0,5.0,3.0,11.0,0.36,6.0,0.0,0.0,3.0,2.0,0.0,67.0,38.0,40.0,19.0,8.0,18.0,53.0,34.0,35.0,531.0,151.0,28.4,285.0,163.0,83.0,60.0,4.0,0.0,56.0,31.0,86.0,1.0,2614.0,119.0,720.0,1157.0,903.0,88.0,2336.0,22.0,36.0,61.1,25.0,0.0,1798.0,9200.0,5471.0,1866.0,1706.0,91.4,28.0,42.0,0.0,28.0,37.0,2.0,2.0,1.0,0.0,353.0,56.0,36.0,60.9,2018/2019,Premier League
