player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Season,League
Francesco Acerbi,it ITA,DF,Lazio,31,1988,36.0,36.0,3162.0,2.0,2.0,0.0,0.0,4.0,0.0,0.06,0.06,0.11,0.06,0.11,2.0,2.0,1.6,0.06,0.05,0.1,0.06,0.1,35.1,17.0,7.0,0.0,41.2,0.48,0.2,0.12,0.29,0.12,0.0,0.0,1809.0,2011.0,90.0,41350.0,12495.0,519.0,558.0,93.0,884.0,937.0,94.3,390.0,481.0,81.1,0.4,7.0,138.0,14.0,3.0,119.0,1926.0,85.0,64.0,3.0,215.0,102.0,24.0,1.0,0.0,0.0,0.0,1428.0,229.0,354.0,1543.0,324.0,76.0,20.0,5.0,1.0,27.0,8.0,20.0,27.0,0.77,24.0,0.0,1.0,1.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,52.0,33.0,36.0,10.0,6.0,13.0,26.0,50.0,13.0,320.0,115.0,35.9,213.0,81.0,26.0,61.0,30.0,0.0,31.0,28.0,165.0,2.0,2365.0,370.0,1206.0,1158.0,202.0,34.0,2287.0,15.0,17.0,88.2,15.0,0.0,1559.0,11551.0,6232.0,1641.0,1600.0,97.5,8.0,7.0,0.0,25.0,41.0,5.0,1.0,0.0,0.0,357.0,72.0,35.0,67.3,2019/2020,SerieA
Bobby Adekanye,nl NED,FW,Lazio,20,1999,11.0,0.0,188.0,1.0,0.0,0.0,0.0,1.0,0.0,0.48,0.0,0.48,0.48,0.48,1.7,1.7,0.1,0.82,0.06,0.88,0.82,0.88,2.1,5.0,4.0,0.0,80.0,2.39,1.91,0.2,0.25,0.34,-0.7,-0.7,41.0,46.0,89.1,546.0,68.0,26.0,31.0,83.9,12.0,12.0,100.0,1.0,1.0,100.0,-0.1,2.0,1.0,0.0,0.0,1.0,44.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,5.0,3.0,39.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,2.87,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,0.0,1.0,5.0,20.0,4.0,60.0,10.0,16.7,4.0,37.0,19.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,70.0,0.0,9.0,35.0,30.0,13.0,68.0,4.0,4.0,100.0,4.0,0.0,54.0,410.0,241.0,82.0,50.0,61.0,5.0,4.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,10.0,1.0,6.0,14.3,2019/2020,SerieA
Claud Adjapong,it ITA,DF,Hellas Verona,21,1998,5.0,2.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.22,0.0,0.22,0.22,0.22,2.6,3.0,1.0,0.0,33.3,1.17,0.39,0.0,0.0,0.18,-0.6,-0.6,61.0,80.0,76.3,1113.0,358.0,27.0,33.0,81.8,25.0,30.0,83.3,7.0,14.0,50.0,0.0,0.0,6.0,0.0,0.0,5.0,65.0,15.0,1.0,0.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,23.0,17.0,10.0,49.0,5.0,14.0,0.0,0.0,1.0,2.0,1.0,1.0,0.39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,50.0,12.0,24.0,28.0,11.0,11.0,5.0,3.0,0.0,2.0,3.0,9.0,0.0,112.0,14.0,35.0,52.0,37.0,7.0,98.0,1.0,3.0,33.3,2.0,0.0,66.0,440.0,214.0,76.0,63.0,82.9,5.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,12.0,4.0,2.0,66.7,2019/2020,SerieA
Lucien Agoume,fr FRA,MF,Inter,17,2002,3.0,0.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.08,0.08,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,39.0,92.3,671.0,201.0,16.0,17.0,94.1,16.0,18.0,88.9,4.0,4.0,100.0,-0.1,1.0,4.0,2.0,1.0,5.0,39.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,3.0,2.0,10.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.65,2.0,0.0,0.0,0.0,0.0,1.0,1.32,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,100.0,0.0,15.0,2.0,13.3,4.0,7.0,4.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,48.0,1.0,12.0,25.0,12.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,32.0,145.0,49.0,31.0,29.0,93.5,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0,2019/2020,SerieA
Kevin Agudelo,co COL,"MF,FW",Fiorentina,20,1998,3.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.45,0.3,0.75,0.45,0.75,0.7,4.0,0.0,0.0,0.0,5.63,0.0,0.0,0.0,0.08,-0.3,-0.3,29.0,36.0,80.6,458.0,141.0,14.0,19.0,73.7,14.0,15.0,93.3,1.0,2.0,50.0,-0.2,2.0,1.0,1.0,0.0,3.0,36.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,3.0,30.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,8.44,4.0,0.0,2.0,0.0,0.0,1.0,1.41,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,22.0,6.0,27.3,6.0,9.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,0.0,9.0,22.0,20.0,2.0,47.0,2.0,2.0,100.0,2.0,0.0,33.0,269.0,167.0,40.0,32.0,80.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,2019/2020,SerieA
Kevin Agudelo,co COL,"MF,FW",Genoa,20,1998,10.0,7.0,666.0,1.0,1.0,0.0,0.0,5.0,1.0,0.14,0.14,0.27,0.14,0.27,1.1,1.1,1.2,0.15,0.16,0.31,0.15,0.31,7.4,10.0,2.0,0.0,20.0,1.35,0.27,0.1,0.5,0.11,-0.1,-0.1,245.0,301.0,81.4,3840.0,902.0,132.0,151.0,87.4,84.0,95.0,88.4,20.0,33.0,60.6,-0.2,11.0,20.0,5.0,0.0,17.0,295.0,6.0,1.0,1.0,77.0,4.0,10.0,4.0,3.0,1.0,0.0,214.0,51.0,36.0,241.0,38.0,14.0,1.0,4.0,0.0,2.0,5.0,13.0,31.0,4.19,21.0,0.0,5.0,0.0,1.0,2.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,12.0,10.0,3.0,10.0,26.0,38.5,16.0,217.0,46.0,21.2,72.0,109.0,36.0,12.0,1.0,0.0,11.0,6.0,3.0,0.0,402.0,6.0,82.0,217.0,147.0,20.0,396.0,21.0,33.0,63.6,23.0,0.0,326.0,2597.0,1639.0,348.0,285.0,81.9,12.0,13.0,1.0,20.0,11.0,1.0,0.0,1.0,0.0,55.0,4.0,6.0,40.0,2019/2020,SerieA
Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,28,1990,10.0,2.0,230.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,104.0,87.5,1746.0,291.0,37.0,40.0,92.5,40.0,44.0,90.9,13.0,19.0,68.4,0.0,1.0,4.0,1.0,0.0,6.0,103.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,81.0,11.0,12.0,6.0,91.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1.17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,30.0,4.0,13.3,13.0,11.0,6.0,4.0,2.0,0.0,2.0,1.0,6.0,0.0,129.0,9.0,32.0,85.0,26.0,1.0,128.0,0.0,1.0,0.0,0.0,0.0,95.0,634.0,267.0,116.0,90.0,77.6,4.0,3.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,22.0,5.0,12.0,29.4,2019/2020,SerieA
Ola Aina,ng NGA,DF,Torino,22,1996,32.0,20.0,2079.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.09,0.09,0.0,0.09,0.4,0.4,2.2,0.02,0.1,0.11,0.02,0.11,23.1,12.0,2.0,0.0,16.7,0.52,0.09,0.0,0.0,0.03,-0.4,-0.4,863.0,1160.0,74.4,15454.0,6409.0,420.0,468.0,89.7,320.0,405.0,79.0,107.0,234.0,45.7,-0.2,21.0,56.0,21.0,11.0,84.0,922.0,238.0,13.0,2.0,146.0,33.0,70.0,4.0,0.0,0.0,0.0,641.0,234.0,285.0,251.0,628.0,48.0,221.0,3.0,6.0,31.0,28.0,36.0,46.0,1.99,25.0,11.0,4.0,0.0,5.0,7.0,0.3,3.0,2.0,0.0,0.0,2.0,0.0,49.0,28.0,26.0,19.0,4.0,24.0,49.0,49.0,25.0,328.0,95.0,29.0,140.0,130.0,58.0,70.0,9.0,0.0,61.0,26.0,56.0,1.0,1476.0,76.0,431.0,728.0,432.0,34.0,1243.0,56.0,94.0,59.6,59.0,1.0,922.0,6764.0,4212.0,937.0,855.0,91.2,20.0,27.0,0.0,26.0,35.0,2.0,0.0,0.0,0.0,165.0,26.0,23.0,53.1,2019/2020,SerieA
Luis Alberto,es ESP,MF,Lazio,26,1992,36.0,36.0,3113.0,6.0,15.0,1.0,1.0,5.0,0.0,0.17,0.43,0.61,0.14,0.58,7.1,6.4,10.8,0.21,0.31,0.52,0.18,0.5,34.6,99.0,27.0,11.0,27.3,2.86,0.78,0.05,0.19,0.06,-1.1,-1.4,1792.0,2264.0,79.2,33398.0,11824.0,767.0,874.0,87.8,748.0,871.0,85.9,237.0,431.0,55.0,4.2,108.0,255.0,97.0,5.0,321.0,1984.0,280.0,68.0,16.0,425.0,106.0,44.0,149.0,53.0,59.0,15.0,1571.0,302.0,391.0,82.0,2114.0,26.0,23.0,14.0,23.0,31.0,40.0,59.0,206.0,5.96,135.0,37.0,16.0,12.0,2.0,29.0,0.84,22.0,2.0,0.0,2.0,1.0,1.0,52.0,34.0,24.0,22.0,6.0,22.0,91.0,24.2,69.0,677.0,202.0,29.8,188.0,323.0,166.0,43.0,1.0,0.0,42.0,16.0,16.0,0.0,2663.0,21.0,334.0,1465.0,1196.0,109.0,2387.0,72.0,105.0,68.6,76.0,4.0,2076.0,16083.0,10758.0,2150.0,1943.0,90.4,49.0,62.0,0.0,20.0,38.0,1.0,0.0,0.0,0.0,292.0,8.0,15.0,34.8,2019/2020,SerieA
Enrico Alfonso,it ITA,GK,Brescia,31,1988,4.0,4.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,75.0,70.7,1492.0,856.0,12.0,12.0,100.0,19.0,19.0,100.0,22.0,44.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,37.0,13.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,32.0,4.0,60.0,0.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,69.0,85.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,29.0,133.0,77.0,24.0,23.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2019/2020,SerieA
