squad,League,player,nationality,position,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season
RB Leipzig,Bundesliga,Yvon Mvogo,ch SUI,GK,25,1994,2.0,2.0,180.0,3.0,1.5,5.0,2.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.6,0.32,-1.4,-0.7,7.0,18.0,38.9,69.0,9.0,21.7,29.7,10.0,30.0,29.4,13.0,1.0,7.7,2.0,1.0,16.1,2019/2020
RB Leipzig,Bundesliga,Péter Gulácsi,hu HUN,GK,28,1990,33.0,33.0,2925.0,28.0,0.86,108.0,86.0,0.778,19.0,9.0,5.0,16.0,48.5,5.0,4.0,0.0,1.0,32.5,1.0,4.0,1.0,32.2,0.27,6.2,0.19,253.0,619.0,40.9,792.0,124.0,54.4,44.3,218.0,86.2,61.6,242.0,15.0,6.2,42.0,1.29,17.1,2018/2019
RB Leipzig,Bundesliga,Yvon Mvogo,ch SUI,GK,24,1994,2.0,1.0,135.0,2.0,1.33,3.0,2.0,0.667,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,1.4,0.2,-0.6,-0.41,9.0,14.0,64.3,25.0,4.0,40.0,38.3,6.0,66.7,47.7,11.0,0.0,0.0,0.0,0.0,9.6,2018/2019
RB Leipzig,Bundesliga,Péter Gulácsi,hu HUN,GK,27,1990,33.0,33.0,2970.0,52.0,1.58,143.0,95.0,0.6709999999999999,15.0,8.0,10.0,6.0,18.2,5.0,5.0,0.0,0.0,33.0,0.0,9.0,0.0,50.7,0.33,-1.3,-0.04,226.0,550.0,41.1,870.0,141.0,46.3,39.9,196.0,75.0,55.2,278.0,24.0,8.6,32.0,0.97,17.2,2017/2018
RB Leipzig,Bundesliga,Yvon Mvogo,ch SUI,GK,23,1994,1.0,1.0,90.0,1.0,1.0,4.0,3.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2,0.29,0.2,0.16,7.0,14.0,50.0,32.0,5.0,31.3,29.9,4.0,100.0,70.0,6.0,0.0,0.0,4.0,4.0,21.7,2017/2018
Hoffenheim,Bundesliga,Oliver Baumann,de GER,GK,30-212,1990,12.0,12.0,1080.0,22.0,1.83,60.0,39.0,0.6829999999999999,4.0,2.0,6.0,0.0,0.0,4.0,3.0,0.0,1.0,12.0,0.0,1.0,0.0,22.3,0.33,0.3,0.03,74.0,186.0,39.8,426.0,65.0,35.7,33.6,99.0,34.3,34.2,104.0,2.0,1.9,17.0,1.42,16.8,2020/2021
Hoffenheim,Bundesliga,Philipp Pentke,de GER,GK,35-244,1985,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.21,-0.6,-0.57,2.0,6.0,33.3,25.0,5.0,20.0,29.8,4.0,25.0,31.5,2.0,0.0,0.0,1.0,1.0,20.3,2020/2021
Hoffenheim,Bundesliga,Oliver Baumann,de GER,GK,29,1990,30.0,30.0,2700.0,49.0,1.63,143.0,101.0,0.6920000000000001,13.0,7.0,10.0,7.0,23.3,7.0,5.0,2.0,0.0,30.0,0.0,4.0,2.0,42.3,0.26,-4.7,-0.16,163.0,436.0,37.4,1038.0,181.0,32.0,32.7,265.0,39.2,36.7,308.0,16.0,5.2,33.0,1.1,15.3,2019/2020
Hoffenheim,Bundesliga,Philipp Pentke,de GER,GK,34,1985,4.0,4.0,360.0,4.0,1.0,20.0,16.0,0.85,2.0,0.0,2.0,1.0,25.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,6.1,0.26,2.1,0.51,20.0,54.0,37.0,133.0,23.0,33.1,33.5,29.0,34.5,37.1,47.0,3.0,6.4,8.0,2.0,16.0,2019/2020
Hoffenheim,Bundesliga,Oliver Baumann,de GER,GK,28,1990,33.0,33.0,2970.0,51.0,1.55,159.0,114.0,0.7170000000000001,12.0,12.0,9.0,5.0,15.2,7.0,6.0,1.0,0.0,33.0,0.0,5.0,1.0,52.4,0.3,2.4,0.07,210.0,453.0,46.4,1047.0,183.0,32.5,32.6,242.0,46.7,42.9,298.0,25.0,8.4,44.0,1.33,16.8,2018/2019
