squad,League,player,nationality,position,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season
Hertha BSC,Bundesliga,Alexander Schwolow,de GER,GK,28-212,1992,13.0,13.0,1170.0,24.0,1.85,52.0,32.0,0.615,3.0,4.0,6.0,3.0,23.1,4.0,4.0,0.0,0.0,13.0,0.0,2.0,0.0,22.1,0.36,-1.9,-0.15,94.0,197.0,47.7,376.0,57.0,36.4,34.9,111.0,54.1,45.4,113.0,8.0,7.1,8.0,0.62,14.3,2020/2021
Hertha BSC,Bundesliga,Rune Jarstein,no NOR,GK,34,1984,29.0,29.0,2547.0,46.0,1.63,131.0,94.0,0.7020000000000001,11.0,5.0,13.0,9.0,31.0,7.0,7.0,0.0,0.0,28.3,3.0,6.0,2.0,38.8,0.25,-5.2,-0.18,290.0,620.0,46.8,786.0,122.0,57.6,43.1,221.0,75.6,53.5,281.0,27.0,9.6,16.0,0.57,12.9,2019/2020
Hertha BSC,Bundesliga,Thomas Kraft,de GER,GK,31,1988,4.0,4.0,360.0,9.0,2.25,20.0,11.0,0.55,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7.1,0.35,-1.9,-0.48,38.0,88.0,43.2,96.0,15.0,64.6,45.4,33.0,78.8,55.3,44.0,2.0,4.5,4.0,1.0,17.2,2019/2020
Hertha BSC,Bundesliga,Dennis Smarsch,de GER,GK,20,1999,2.0,1.0,151.0,4.0,2.38,11.0,7.0,0.636,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,1.0,0.0,3.7,0.34,-0.3,-0.17,13.0,31.0,41.9,54.0,9.0,37.0,35.9,16.0,68.8,50.6,13.0,2.0,15.4,2.0,1.19,16.1,2019/2020
Hertha BSC,Bundesliga,Rune Jarstein,no NOR,GK,33,1984,31.0,31.0,2745.0,48.0,1.57,141.0,96.0,0.674,9.0,10.0,12.0,8.0,25.8,4.0,2.0,1.0,1.0,30.5,1.0,6.0,2.0,47.6,0.32,1.6,0.05,369.0,818.0,45.1,884.0,102.0,63.8,45.9,277.0,91.7,64.1,270.0,32.0,11.9,15.0,0.49,13.8,2018/2019
Hertha BSC,Bundesliga,Thomas Kraft,de GER,GK,30,1988,4.0,3.0,315.0,9.0,2.57,13.0,6.0,0.462,2.0,0.0,1.0,1.0,33.3,2.0,2.0,0.0,0.0,3.5,0.0,0.0,0.0,5.1,0.3,-3.9,-1.12,38.0,86.0,44.2,94.0,7.0,63.8,43.7,29.0,89.7,61.7,18.0,1.0,5.6,1.0,0.29,13.7,2018/2019
Hertha BSC,Bundesliga,Rune Jarstein,no NOR,GK,32,1984,31.0,31.0,2790.0,44.0,1.42,130.0,92.0,0.7,10.0,10.0,11.0,7.0,22.6,6.0,5.0,0.0,1.0,31.0,0.0,8.0,1.0,36.7,0.25,-6.3,-0.2,297.0,772.0,38.5,860.0,90.0,65.6,47.1,233.0,89.3,63.0,292.0,20.0,6.8,14.0,0.45,13.2,2017/2018
Hertha BSC,Bundesliga,Thomas Kraft,de GER,GK,29,1988,3.0,3.0,270.0,2.0,0.67,12.0,11.0,0.917,0.0,3.0,0.0,1.0,33.3,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.8,0.24,1.8,0.59,27.0,81.0,33.3,108.0,6.0,61.1,43.7,28.0,53.6,46.3,25.0,0.0,0.0,3.0,1.0,16.0,2017/2018
Köln,Bundesliga,Timo Horn,de GER,GK,27-233,1993,13.0,13.0,1119.0,20.0,1.61,58.0,42.0,0.7240000000000001,2.0,5.0,6.0,2.0,15.4,5.0,4.0,1.0,0.0,12.4,1.0,2.0,0.0,18.7,0.24,-1.3,-0.1,126.0,264.0,47.7,416.0,42.0,51.7,41.2,87.0,56.3,45.6,104.0,3.0,2.9,9.0,0.72,13.4,2020/2021
Köln,Bundesliga,Ron-Robert Zieler,de GER,GK,31-323,1989,1.0,0.0,51.0,1.0,1.76,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.7,0.01,-0.3,-0.46,6.0,11.0,54.5,17.0,4.0,35.3,35.0,6.0,83.3,49.7,10.0,0.0,0.0,0.0,0.0,11.8,2020/2021
Köln,Bundesliga,Timo Horn,de GER,GK,26,1993,34.0,34.0,3060.0,69.0,2.03,152.0,87.0,0.5720000000000001,10.0,6.0,18.0,6.0,17.6,6.0,4.0,2.0,0.0,34.0,1.0,11.0,2.0,53.1,0.32,-13.9,-0.41,311.0,630.0,49.4,892.0,99.0,53.9,42.2,298.0,50.0,40.7,270.0,18.0,6.7,14.0,0.41,14.1,2019/2020
Köln,Bundesliga,Timo Horn,de GER,GK,24,1993,34.0,34.0,3060.0,70.0,2.06,197.0,135.0,0.685,5.0,7.0,22.0,5.0,14.7,9.0,8.0,1.0,0.0,34.0,0.0,7.0,0.0,71.7,0.33,1.7,0.05,293.0,755.0,38.8,774.0,82.0,66.3,48.9,279.0,86.7,61.7,370.0,28.0,7.6,33.0,0.97,15.7,2017/2018
Union Berlin,Bundesliga,Andreas Luthe,de GER,GK,33-296,1987,13.0,13.0,1170.0,18.0,1.38,50.0,31.0,0.64,5.0,6.0,2.0,2.0,15.4,0.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,15.5,0.31,-2.5,-0.19,80.0,226.0,35.4,362.0,45.0,45.0,38.9,87.0,72.4,49.8,102.0,4.0,3.9,3.0,0.23,12.4,2020/2021
Union Berlin,Bundesliga,Rafał Gikiewicz,pl POL,GK,31,1987,33.0,33.0,2970.0,54.0,1.64,160.0,109.0,0.6809999999999999,12.0,5.0,16.0,8.0,24.2,4.0,3.0,1.0,0.0,33.0,0.0,9.0,1.0,51.0,0.3,-2.0,-0.06,412.0,890.0,46.3,1087.0,124.0,61.5,47.4,269.0,82.2,60.7,295.0,28.0,9.5,23.0,0.7,15.3,2019/2020
Union Berlin,Bundesliga,Moritz Nicolas,de GER,GK,21,1997,1.0,1.0,90.0,4.0,4.0,8.0,4.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.9,0.36,-1.1,-1.15,8.0,20.0,40.0,29.0,0.0,55.2,44.7,7.0,57.1,48.9,4.0,0.0,0.0,1.0,1.0,13.7,2019/2020
Stuttgart,Bundesliga,Gregor Kobel,ch SUI,GK,23-025,1997,13.0,13.0,1170.0,20.0,1.54,60.0,42.0,0.7,4.0,6.0,3.0,1.0,7.7,2.0,2.0,0.0,0.0,13.0,1.0,2.0,0.0,16.5,0.25,-3.5,-0.27,59.0,136.0,43.4,374.0,82.0,31.0,31.0,104.0,19.2,22.2,125.0,3.0,2.4,10.0,0.77,14.2,2020/2021
Stuttgart,Bundesliga,Ron-Robert Zieler,de GER,GK,29,1989,34.0,34.0,3060.0,70.0,2.06,178.0,114.0,0.618,7.0,7.0,20.0,6.0,17.6,3.0,2.0,0.0,1.0,34.0,2.0,6.0,5.0,59.1,0.33,-5.9,-0.17,246.0,746.0,33.0,908.0,124.0,58.6,45.2,300.0,71.3,57.6,310.0,13.0,4.2,34.0,1.0,16.0,2018/2019
Stuttgart,Bundesliga,Ron-Robert Zieler,de GER,GK,28,1989,34.0,34.0,3060.0,36.0,1.06,146.0,113.0,0.7809999999999999,15.0,6.0,13.0,12.0,35.3,6.0,4.0,2.0,0.0,34.0,2.0,2.0,0.0,43.0,0.27,7.0,0.21,299.0,880.0,34.0,1015.0,111.0,63.6,46.8,279.0,83.9,62.8,359.0,28.0,7.8,23.0,0.68,14.9,2017/2018
Wolfsburg,Bundesliga,Koen Casteels,be BEL,GK,28-189,1992,12.0,12.0,1080.0,12.0,1.0,35.0,26.0,0.7140000000000001,6.0,5.0,1.0,4.0,33.3,3.0,2.0,1.0,0.0,12.0,0.0,2.0,1.0,11.6,0.28,0.6,0.05,96.0,210.0,45.7,377.0,66.0,42.2,37.8,70.0,72.9,54.4,104.0,12.0,11.5,9.0,0.75,14.8,2020/2021
Wolfsburg,Bundesliga,Pavao Pervan,at AUT,GK,33-048,1987,1.0,1.0,90.0,1.0,1.0,7.0,5.0,0.857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7,0.39,1.7,1.72,8.0,19.0,42.1,23.0,1.0,56.5,43.2,9.0,66.7,53.4,13.0,1.0,7.7,0.0,0.0,11.3,2020/2021
Wolfsburg,Bundesliga,Koen Casteels,be BEL,GK,27,1992,26.0,26.0,2340.0,38.0,1.46,104.0,69.0,0.6729999999999999,11.0,6.0,9.0,5.0,19.2,4.0,4.0,0.0,0.0,26.0,1.0,5.0,0.0,36.8,0.33,-1.2,-0.05,227.0,485.0,46.8,807.0,123.0,47.0,40.1,178.0,59.6,48.7,217.0,18.0,8.3,24.0,0.92,15.5,2019/2020
Wolfsburg,Bundesliga,Pavao Pervan,at AUT,GK,31,1987,8.0,8.0,720.0,8.0,1.0,36.0,29.0,0.8059999999999999,2.0,4.0,2.0,3.0,37.5,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,9.2,0.25,1.2,0.15,54.0,134.0,40.3,205.0,38.0,49.3,39.9,62.0,53.2,46.2,73.0,3.0,4.1,6.0,0.75,15.0,2019/2020
Wolfsburg,Bundesliga,Koen Casteels,be BEL,GK,26,1992,26.0,26.0,2295.0,39.0,1.53,121.0,86.0,0.711,11.0,6.0,9.0,8.0,30.8,5.0,4.0,1.0,0.0,25.5,3.0,2.0,0.0,44.0,0.34,5.0,0.19,217.0,477.0,45.5,991.0,150.0,36.8,37.7,200.0,56.0,50.1,243.0,28.0,11.5,23.0,0.9,14.8,2018/2019
Wolfsburg,Bundesliga,Pavao Pervan,at AUT,GK,30,1987,10.0,8.0,765.0,11.0,1.29,41.0,29.0,0.732,5.0,1.0,2.0,1.0,12.5,1.0,0.0,0.0,1.0,8.5,0.0,1.0,0.0,13.1,0.32,2.1,0.24,80.0,163.0,49.1,274.0,37.0,42.3,38.6,73.0,64.4,53.2,87.0,6.0,6.9,2.0,0.24,11.6,2018/2019
Wolfsburg,Bundesliga,Koen Casteels,be BEL,GK,25,1992,34.0,34.0,3060.0,48.0,1.41,143.0,102.0,0.706,6.0,15.0,13.0,8.0,23.5,10.0,6.0,3.0,1.0,34.0,1.0,5.0,2.0,51.2,0.31,5.2,0.15,269.0,704.0,38.2,1026.0,198.0,49.9,41.1,270.0,71.1,55.1,298.0,35.0,11.7,22.0,0.65,13.6,2017/2018
Arminia,Bundesliga,Stefan Ortega,de GER,GK,28-055,1992,13.0,13.0,1170.0,23.0,1.77,66.0,45.0,0.682,3.0,1.0,9.0,2.0,15.4,3.0,2.0,1.0,0.0,13.0,0.0,4.0,0.0,22.5,0.31,-0.5,-0.04,166.0,373.0,44.5,658.0,49.0,49.1,41.7,87.0,57.5,46.1,131.0,6.0,4.6,11.0,0.85,14.5,2020/2021
Augsburg,Bundesliga,Rafał Gikiewicz,pl POL,GK,33-066,1987,13.0,13.0,1170.0,20.0,1.54,65.0,47.0,0.723,4.0,4.0,5.0,3.0,23.1,2.0,2.0,0.0,0.0,13.0,0.0,0.0,1.0,18.0,0.25,0.0,0.0,90.0,230.0,39.1,452.0,87.0,38.7,34.9,111.0,49.5,44.1,146.0,10.0,6.8,10.0,0.77,15.0,2020/2021
Augsburg,Bundesliga,Tomáš Koubek,cz CZE,GK,26,1992,24.0,24.0,2160.0,51.0,2.12,122.0,72.0,0.5820000000000001,6.0,6.0,12.0,4.0,16.7,1.0,0.0,1.0,0.0,24.0,0.0,4.0,2.0,45.0,0.37,-4.0,-0.17,162.0,494.0,32.8,628.0,103.0,54.1,45.2,212.0,72.6,57.3,230.0,15.0,6.5,23.0,0.96,15.5,2019/2020
Augsburg,Bundesliga,Andreas Luthe,de GER,GK,32,1987,10.0,10.0,900.0,12.0,1.2,35.0,23.0,0.657,3.0,3.0,4.0,3.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,14.0,0.42,3.0,0.3,71.0,190.0,37.4,328.0,50.0,43.6,39.3,91.0,51.6,43.0,113.0,12.0,10.6,4.0,0.4,13.2,2019/2020
Augsburg,Bundesliga,Fabian Giefer,de GER,GK,28,1990,4.0,4.0,360.0,7.0,1.75,18.0,11.0,0.611,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,5.5,0.31,-1.5,-0.36,28.0,63.0,44.4,85.0,15.0,55.3,44.1,24.0,66.7,54.7,38.0,0.0,0.0,0.0,0.0,10.3,2018/2019
Augsburg,Bundesliga,Gregor Kobel,ch SUI,GK,20,1997,16.0,16.0,1390.0,42.0,2.72,85.0,44.0,0.518,4.0,2.0,10.0,3.0,18.8,2.0,1.0,1.0,0.0,15.4,1.0,9.0,1.0,31.0,0.35,-10.0,-0.65,83.0,235.0,35.3,408.0,72.0,41.2,37.2,116.0,57.8,49.8,143.0,14.0,9.8,16.0,1.04,14.7,2018/2019
Augsburg,Bundesliga,Andreas Luthe,de GER,GK,31,1987,15.0,14.0,1310.0,22.0,1.51,77.0,56.0,0.7140000000000001,3.0,5.0,6.0,2.0,14.3,0.0,0.0,0.0,0.0,14.6,1.0,2.0,1.0,22.4,0.3,1.4,0.1,95.0,235.0,40.4,351.0,54.0,49.6,40.4,128.0,47.7,41.6,106.0,5.0,4.7,7.0,0.48,14.2,2018/2019
Augsburg,Bundesliga,Marwin Hitz,ch SUI,GK,29,1987,32.0,32.0,2880.0,42.0,1.31,159.0,118.0,0.742,10.0,10.0,12.0,9.0,28.1,2.0,1.0,1.0,0.0,32.0,2.0,10.0,1.0,42.8,0.26,1.8,0.06,272.0,576.0,47.2,860.0,136.0,49.5,41.2,246.0,61.0,48.5,246.0,18.0,7.3,23.0,0.72,14.4,2017/2018
Augsburg,Bundesliga,Andreas Luthe,de GER,GK,30,1987,2.0,2.0,180.0,4.0,2.0,6.0,3.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.4,0.41,-0.6,-0.31,13.0,29.0,44.8,66.0,12.0,36.4,35.8,14.0,35.7,39.3,20.0,4.0,20.0,3.0,1.5,16.5,2017/2018
Schalke 04,Bundesliga,Ralf Fährmann,de GER,GK,32-095,1988,6.0,6.0,495.0,19.0,3.45,28.0,13.0,0.39299999999999996,0.0,1.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,5.5,0.0,2.0,2.0,11.7,0.36,-5.3,-0.97,29.0,88.0,33.0,162.0,34.0,37.7,34.8,46.0,58.7,45.3,44.0,2.0,4.5,7.0,1.27,15.3,2020/2021
Schalke 04,Bundesliga,Michael Langer,at AUT,GK,35-360,1985,1.0,1.0,90.0,3.0,3.0,9.0,7.0,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.1,0.35,1.1,1.13,8.0,14.0,57.1,13.0,1.0,53.8,40.8,15.0,46.7,36.6,9.0,0.0,0.0,0.0,0.0,6.0,2020/2021
Schalke 04,Bundesliga,Frederik Rønnow,dk DEN,GK,28-149,1992,7.0,6.0,585.0,14.0,2.15,45.0,35.0,0.778,0.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,6.5,0.0,4.0,0.0,16.3,0.3,2.3,0.36,31.0,76.0,40.8,179.0,41.0,30.7,32.1,52.0,40.4,36.8,36.0,1.0,2.8,2.0,0.31,13.5,2020/2021
Schalke 04,Bundesliga,Alexander Nübel,de GER,GK,22,1996,26.0,26.0,2315.0,40.0,1.56,114.0,79.0,0.684,8.0,9.0,9.0,6.0,23.1,4.0,4.0,0.0,0.0,25.7,1.0,6.0,2.0,37.1,0.3,-0.9,-0.03,169.0,443.0,38.1,802.0,111.0,39.7,37.9,207.0,60.4,47.1,214.0,10.0,4.7,16.0,0.62,14.6,2019/2020
Schalke 04,Bundesliga,Markus Schubert,de GER,GK,21,1998,9.0,8.0,742.0,18.0,2.18,52.0,35.0,0.6920000000000001,1.0,3.0,4.0,2.0,25.0,2.0,2.0,0.0,0.0,8.2,1.0,4.0,0.0,17.8,0.32,-0.2,-0.02,55.0,177.0,31.1,257.0,29.0,52.9,42.1,60.0,68.3,51.0,89.0,6.0,6.7,5.0,0.61,12.8,2019/2020
Schalke 04,Bundesliga,Ralf Fährmann,de GER,GK,29,1988,17.0,16.0,1469.0,26.0,1.59,80.0,57.0,0.7,4.0,3.0,9.0,3.0,18.8,2.0,2.0,0.0,0.0,16.3,1.0,4.0,1.0,25.5,0.32,0.5,0.03,114.0,256.0,44.5,396.0,68.0,46.2,40.6,118.0,61.9,49.4,138.0,12.0,8.7,15.0,0.92,17.2,2018/2019
Schalke 04,Bundesliga,Alexander Nübel,de GER,GK,21,1996,18.0,18.0,1588.0,29.0,1.64,77.0,49.0,0.662,4.0,6.0,8.0,4.0,22.2,4.0,3.0,1.0,0.0,17.6,0.0,0.0,0.0,28.5,0.33,-0.5,-0.03,129.0,297.0,43.4,394.0,57.0,48.0,41.0,133.0,81.2,57.9,145.0,10.0,6.9,5.0,0.28,13.9,2018/2019
Schalke 04,Bundesliga,Ralf Fährmann,de GER,GK,28,1988,34.0,34.0,3015.0,37.0,1.1,121.0,87.0,0.7190000000000001,18.0,9.0,7.0,12.0,35.3,6.0,3.0,2.0,1.0,33.5,0.0,3.0,1.0,33.2,0.26,-2.8,-0.08,180.0,496.0,36.3,699.0,122.0,49.9,41.1,217.0,67.7,50.7,290.0,37.0,12.8,15.0,0.45,14.3,2017/2018
Schalke 04,Bundesliga,Alexander Nübel,de GER,GK,20,1996,1.0,0.0,45.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.19,0.4,0.75,6.0,13.0,46.2,13.0,3.0,38.5,42.2,9.0,88.9,53.6,5.0,0.0,0.0,0.0,0.0,12.5,2017/2018
M'Gladbach,Bundesliga,Tobias Sippel,de GER,GK,32-284,1988,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2,0.59,0.2,0.18,5.0,9.0,55.6,20.0,2.0,40.0,35.5,5.0,20.0,20.2,6.0,1.0,16.7,2.0,2.0,24.0,2020/2021
M'Gladbach,Bundesliga,Yann Sommer,ch SUI,GK,32-014,1988,12.0,12.0,1080.0,21.0,1.75,45.0,27.0,0.6,4.0,5.0,3.0,1.0,8.3,3.0,3.0,0.0,0.0,12.0,0.0,3.0,0.0,17.5,0.33,-3.5,-0.29,77.0,171.0,45.0,445.0,50.0,33.3,32.6,90.0,25.6,27.8,84.0,8.0,9.5,3.0,0.25,12.7,2020/2021
M'Gladbach,Bundesliga,Yann Sommer,ch SUI,GK,30,1988,34.0,34.0,3060.0,40.0,1.18,152.0,110.0,0.743,20.0,5.0,9.0,7.0,20.6,2.0,1.0,1.0,0.0,34.0,1.0,3.0,0.0,44.3,0.28,4.3,0.13,230.0,486.0,47.3,1260.0,167.0,30.2,33.1,285.0,37.2,36.4,286.0,14.0,4.9,31.0,0.91,14.3,2019/2020
M'Gladbach,Bundesliga,Yann Sommer,ch SUI,GK,29,1988,34.0,34.0,3060.0,43.0,1.26,154.0,115.0,0.74,16.0,7.0,11.0,13.0,38.2,3.0,3.0,0.0,0.0,34.0,0.0,3.0,0.0,51.8,0.33,9.8,0.29,225.0,539.0,41.7,1334.0,190.0,31.6,33.6,262.0,45.0,42.2,290.0,25.0,8.6,26.0,0.76,14.6,2018/2019
M'Gladbach,Bundesliga,Tobias Sippel,de GER,GK,29,1988,5.0,4.0,435.0,10.0,2.07,24.0,14.0,0.583,1.0,0.0,4.0,1.0,25.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,10.0,0.42,0.0,0.0,34.0,90.0,37.8,148.0,14.0,45.3,41.0,29.0,79.3,58.2,41.0,2.0,4.9,6.0,1.25,18.0,2017/2018
M'Gladbach,Bundesliga,Yann Sommer,ch SUI,GK,28,1988,30.0,30.0,2625.0,42.0,1.44,145.0,106.0,0.738,12.0,8.0,9.0,6.0,20.0,4.0,4.0,0.0,0.0,29.2,0.0,6.0,1.0,40.8,0.27,-0.2,-0.01,199.0,520.0,38.3,986.0,132.0,38.5,35.8,228.0,61.4,48.1,315.0,26.0,8.3,16.0,0.55,13.8,2017/2018
Düsseldorf,Bundesliga,Florian Kastenmeier,de GER,GK,22,1997,17.0,17.0,1530.0,31.0,1.82,76.0,50.0,0.618,2.0,9.0,6.0,2.0,11.8,3.0,2.0,1.0,0.0,17.0,0.0,3.0,3.0,24.4,0.3,-3.6,-0.21,140.0,330.0,42.4,519.0,56.0,51.1,42.5,111.0,58.6,48.3,105.0,4.0,3.8,14.0,0.82,15.5,2019/2020
Düsseldorf,Bundesliga,Zack Steffen,us USA,GK,24,1995,17.0,17.0,1530.0,36.0,2.12,95.0,61.0,0.632,4.0,3.0,10.0,2.0,11.8,2.0,1.0,1.0,0.0,17.0,1.0,6.0,1.0,31.9,0.32,-3.1,-0.18,156.0,327.0,47.7,477.0,101.0,48.6,41.9,143.0,66.4,55.3,145.0,9.0,6.2,11.0,0.65,13.6,2019/2020
Düsseldorf,Bundesliga,Jaroslav Drobný,cz CZE,GK,38,1979,2.0,2.0,180.0,3.0,1.5,9.0,6.0,0.667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.9,0.33,-0.1,-0.03,12.0,22.0,54.5,27.0,5.0,66.7,44.7,10.0,40.0,40.3,8.0,0.0,0.0,1.0,0.5,15.2,2018/2019
Düsseldorf,Bundesliga,Michael Rensing,de GER,GK,34,1984,32.0,32.0,2880.0,62.0,1.94,164.0,107.0,0.665,12.0,5.0,15.0,5.0,15.6,7.0,7.0,0.0,0.0,32.0,1.0,8.0,0.0,54.2,0.31,-7.8,-0.24,244.0,600.0,40.7,688.0,145.0,47.8,40.7,320.0,84.7,60.2,336.0,27.0,8.0,4.0,0.13,12.7,2018/2019
Paderborn 07,Bundesliga,Jannik Huth,de GER,GK,25,1994,6.0,6.0,540.0,17.0,2.83,32.0,16.0,0.5,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,11.7,0.34,-5.3,-0.88,34.0,83.0,41.0,205.0,37.0,33.7,34.0,49.0,28.6,33.4,43.0,4.0,9.3,4.0,0.67,15.9,2019/2020
Paderborn 07,Bundesliga,Leopold Zingerle,de GER,GK,25,1994,28.0,28.0,2520.0,57.0,2.04,147.0,95.0,0.633,4.0,7.0,17.0,5.0,17.9,4.0,3.0,1.0,0.0,28.0,3.0,7.0,2.0,56.8,0.38,1.8,0.07,192.0,380.0,50.5,982.0,187.0,31.1,32.3,235.0,31.9,32.5,259.0,10.0,3.9,17.0,0.61,14.0,2019/2020
Hannover 96,Bundesliga,Michael Esser,de GER,GK,30,1987,32.0,32.0,2880.0,67.0,2.09,209.0,149.0,0.703,5.0,6.0,21.0,5.0,15.6,6.0,5.0,1.0,0.0,32.0,1.0,12.0,1.0,58.6,0.26,-6.4,-0.2,313.0,653.0,47.9,947.0,141.0,51.2,40.7,284.0,59.2,46.3,353.0,17.0,4.8,28.0,0.88,15.0,2018/2019
Hannover 96,Bundesliga,Samuel Şahin-Radlinger,at AUT,GK,25,1992,1.0,1.0,90.0,2.0,2.0,6.0,4.0,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7,0.42,-0.3,-0.27,10.0,15.0,66.7,20.0,6.0,45.0,38.6,8.0,75.0,58.5,7.0,1.0,14.3,3.0,3.0,19.1,2018/2019
Hannover 96,Bundesliga,Philipp Tschauner,de GER,GK,32,1985,1.0,1.0,90.0,3.0,3.0,5.0,3.0,0.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.7,0.38,-0.3,-0.26,2.0,9.0,22.2,19.0,3.0,36.8,35.5,8.0,25.0,32.3,2.0,0.0,0.0,0.0,0.0,7.3,2018/2019
Hannover 96,Bundesliga,Michael Esser,de GER,GK,29,1987,3.0,3.0,270.0,9.0,3.0,21.0,12.0,0.5710000000000001,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,5.2,0.25,-3.8,-1.27,20.0,54.0,37.0,95.0,18.0,46.3,37.1,26.0,38.5,38.3,32.0,3.0,9.4,2.0,0.67,13.2,2017/2018
Hannover 96,Bundesliga,Philipp Tschauner,de GER,GK,31,1985,31.0,31.0,2790.0,45.0,1.45,152.0,107.0,0.7170000000000001,9.0,9.0,13.0,5.0,16.1,3.0,2.0,0.0,1.0,31.0,1.0,12.0,0.0,47.5,0.31,2.5,0.08,271.0,579.0,46.8,852.0,150.0,49.3,38.8,252.0,63.1,45.7,297.0,10.0,3.4,21.0,0.68,15.3,2017/2018
Nürnberg,Bundesliga,Fabian Bredlow,de GER,GK,23,1995,14.0,12.0,1127.0,28.0,2.24,60.0,32.0,0.55,2.0,3.0,7.0,2.0,16.7,3.0,1.0,1.0,1.0,12.5,0.0,2.0,0.0,18.7,0.3,-9.3,-0.74,65.0,200.0,32.5,350.0,43.0,40.6,37.0,115.0,50.4,47.8,107.0,4.0,3.7,6.0,0.48,12.9,2018/2019
Nürnberg,Bundesliga,Christian Mathenia,de GER,GK,26,1992,22.0,22.0,1933.0,40.0,1.86,116.0,75.0,0.664,1.0,7.0,14.0,2.0,9.1,1.0,1.0,0.0,0.0,21.5,1.0,6.0,2.0,41.8,0.35,3.8,0.18,191.0,506.0,37.7,678.0,94.0,50.9,43.2,218.0,73.9,58.3,308.0,37.0,12.0,6.0,0.28,12.1,2018/2019
Hamburger SV,Bundesliga,Christian Mathenia,de GER,GK,25,1992,24.0,24.0,2160.0,38.0,1.58,93.0,58.0,0.624,4.0,6.0,14.0,6.0,25.0,4.0,3.0,0.0,1.0,24.0,0.0,4.0,1.0,36.4,0.38,-0.6,-0.02,126.0,432.0,29.2,507.0,73.0,57.2,44.7,181.0,78.5,58.5,180.0,9.0,5.0,11.0,0.46,14.3,2017/2018
Hamburger SV,Bundesliga,Julian Pollersbeck,de GER,GK,22,1994,10.0,10.0,900.0,15.0,1.5,47.0,31.0,0.6809999999999999,4.0,1.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,16.5,0.37,1.5,0.15,80.0,213.0,37.6,481.0,46.0,38.3,36.7,63.0,46.0,44.0,72.0,9.0,12.5,20.0,2.0,18.8,2017/2018
