player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Season,League
Ignazio Abate,it ITA,DF,Milan,31,1986,19.0,15.0,1302.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.02,0.03,0.0,0.03,14.5,1.0,1.0,0.0,100.0,0.07,0.07,0.0,0.0,0.03,0.0,0.0,766.0,918.0,83.4,14840.0,5802.0,301.0,325.0,92.6,358.0,401.0,89.3,100.0,167.0,59.9,-0.3,7.0,73.0,13.0,4.0,77.0,804.0,114.0,19.0,3.0,144.0,14.0,20.0,0.0,0.0,0.0,0.0,625.0,139.0,154.0,59.0,736.0,21.0,95.0,2.0,1.0,12.0,14.0,23.0,18.0,1.24,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,21.0,19.0,14.0,4.0,13.0,30.0,43.3,17.0,199.0,56.0,28.1,102.0,77.0,20.0,34.0,5.0,0.0,29.0,14.0,53.0,1.0,1056.0,74.0,351.0,587.0,165.0,9.0,946.0,5.0,9.0,55.6,8.0,2.0,700.0,2778.0,1506.0,709.0,687.0,96.9,6.0,3.0,0.0,13.0,7.0,0.0,0.0,1.0,0.0,113.0,10.0,7.0,58.8,2018/2019,SerieA
Francesco Acerbi,it ITA,DF,Lazio,30,1988,37.0,37.0,3309.0,3.0,1.0,0.0,0.0,4.0,1.0,0.08,0.03,0.11,0.08,0.11,3.0,3.0,0.6,0.08,0.02,0.1,0.08,0.1,36.8,19.0,7.0,0.0,36.8,0.52,0.19,0.16,0.43,0.16,0.0,0.0,1554.0,1787.0,87.0,33525.0,10694.0,443.0,500.0,88.6,810.0,875.0,92.6,287.0,389.0,73.8,0.4,8.0,112.0,6.0,2.0,94.0,1721.0,66.0,51.0,1.0,262.0,48.0,8.0,0.0,0.0,0.0,0.0,1284.0,184.0,319.0,1278.0,318.0,121.0,15.0,7.0,3.0,32.0,16.0,9.0,22.0,0.6,17.0,0.0,0.0,1.0,3.0,2.0,0.05,1.0,0.0,0.0,1.0,0.0,0.0,51.0,30.0,29.0,16.0,6.0,14.0,26.0,53.8,12.0,259.0,96.0,37.1,173.0,71.0,15.0,63.0,31.0,0.0,32.0,43.0,181.0,2.0,2162.0,279.0,1117.0,1108.0,127.0,27.0,2104.0,9.0,11.0,81.8,9.0,0.0,1360.0,9766.0,5119.0,1344.0,1307.0,97.2,7.0,14.0,1.0,26.0,42.0,4.0,0.0,2.0,0.0,424.0,78.0,36.0,68.4,2018/2019,SerieA
Afriyie Acquah,gh GHA,MF,Empoli,26,1992,28.0,19.0,1510.0,2.0,0.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,1.5,1.5,0.6,0.09,0.04,0.13,0.09,0.13,16.8,23.0,7.0,0.0,30.4,1.37,0.42,0.09,0.29,0.07,0.5,0.5,591.0,735.0,80.4,10181.0,2575.0,279.0,311.0,89.7,266.0,316.0,84.2,43.0,84.0,51.2,-0.6,11.0,64.0,14.0,3.0,60.0,722.0,13.0,5.0,3.0,146.0,20.0,22.0,0.0,0.0,0.0,0.0,566.0,72.0,97.0,32.0,660.0,23.0,8.0,0.0,1.0,16.0,10.0,27.0,34.0,2.03,26.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,13.0,10.0,12.0,4.0,3.0,15.0,20.0,12.0,308.0,65.0,21.1,101.0,153.0,54.0,17.0,1.0,0.0,16.0,7.0,13.0,0.0,921.0,26.0,151.0,508.0,360.0,33.0,911.0,37.0,48.0,77.1,39.0,1.0,786.0,5663.0,3296.0,807.0,699.0,86.6,26.0,28.0,0.0,28.0,32.0,1.0,0.0,0.0,0.0,130.0,14.0,20.0,41.2,2018/2019,SerieA
Claud Adjapong,it ITA,"MF,DF",Sassuolo,20,1998,5.0,3.0,270.0,1.0,0.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,0.5,0.5,0.1,0.17,0.03,0.2,0.17,0.2,3.0,3.0,1.0,0.0,33.3,1.0,0.33,0.33,1.0,0.17,0.5,0.5,77.0,101.0,76.2,1199.0,378.0,41.0,50.0,82.0,28.0,33.0,84.8,6.0,8.0,75.0,-0.1,2.0,2.0,3.0,0.0,4.0,78.0,23.0,0.0,0.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,65.0,24.0,12.0,10.0,66.0,1.0,23.0,0.0,2.0,1.0,3.0,7.0,2.0,0.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,2.0,2.0,1.0,2.0,50.0,1.0,47.0,13.0,27.7,24.0,14.0,9.0,3.0,1.0,0.0,2.0,3.0,3.0,0.0,146.0,5.0,38.0,59.0,61.0,9.0,124.0,8.0,13.0,61.5,8.0,0.0,109.0,634.0,399.0,104.0,85.0,81.7,13.0,7.0,0.0,3.0,6.0,2.0,0.0,0.0,0.0,21.0,2.0,3.0,40.0,2018/2019,SerieA
Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,24,1993,3.0,2.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.08,0.08,0.16,0.08,0.16,1.8,3.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.05,-0.1,-0.1,78.0,123.0,63.4,1504.0,612.0,35.0,48.0,72.9,32.0,46.0,69.6,10.0,23.0,43.5,-0.2,3.0,6.0,2.0,1.0,10.0,99.0,24.0,4.0,0.0,24.0,4.0,5.0,6.0,0.0,0.0,0.0,69.0,27.0,27.0,78.0,22.0,5.0,14.0,1.0,2.0,4.0,4.0,5.0,6.0,3.25,4.0,1.0,1.0,0.0,0.0,1.0,0.54,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,5.0,20.0,4.0,21.0,6.0,28.6,10.0,9.0,2.0,2.0,1.0,0.0,1.0,3.0,4.0,0.0,138.0,8.0,37.0,54.0,53.0,4.0,114.0,4.0,5.0,80.0,4.0,0.0,88.0,409.0,264.0,87.0,79.0,90.8,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,20.0,4.0,1.0,80.0,2018/2019,SerieA
Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,27,1990,4.0,2.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.16,0.01,0.17,0.16,0.17,1.8,3.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.1,-0.3,-0.3,26.0,31.0,83.9,475.0,61.0,12.0,15.0,80.0,9.0,10.0,90.0,4.0,4.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,4.0,2.0,22.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,3.0,1.0,1.0,3.0,33.3,2.0,34.0,6.0,17.6,10.0,18.0,6.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,56.0,4.0,13.0,30.0,14.0,3.0,56.0,0.0,4.0,0.0,0.0,0.0,25.0,98.0,37.0,45.0,34.0,75.6,3.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,10.0,4.0,5.0,44.4,2018/2019,SerieA
Ola Aina,ng NGA,"DF,MF",Torino,21,1996,30.0,22.0,2160.0,1.0,3.0,0.0,0.0,5.0,1.0,0.04,0.12,0.17,0.04,0.17,1.9,1.9,2.1,0.08,0.09,0.17,0.08,0.17,24.0,25.0,6.0,0.0,24.0,1.04,0.25,0.04,0.17,0.08,-0.9,-0.9,845.0,1160.0,72.8,14588.0,6204.0,418.0,479.0,87.3,314.0,430.0,73.0,94.0,194.0,48.5,0.9,24.0,52.0,31.0,14.0,89.0,913.0,247.0,13.0,1.0,171.0,35.0,72.0,1.0,0.0,0.0,0.0,615.0,224.0,321.0,220.0,608.0,73.0,232.0,4.0,1.0,39.0,17.0,48.0,47.0,1.96,30.0,2.0,6.0,2.0,4.0,4.0,0.17,1.0,1.0,0.0,1.0,0.0,1.0,64.0,44.0,40.0,17.0,7.0,21.0,53.0,39.6,32.0,468.0,152.0,32.5,212.0,194.0,62.0,67.0,4.0,1.0,63.0,34.0,41.0,0.0,1483.0,66.0,407.0,692.0,477.0,44.0,1244.0,37.0,68.0,54.4,39.0,1.0,847.0,5968.0,3697.0,880.0,766.0,87.0,26.0,30.0,0.0,31.0,39.0,4.0,0.0,0.0,0.0,244.0,28.0,20.0,58.3,2018/2019,SerieA
Luis Alberto,es ESP,"MF,FW",Lazio,25,1992,27.0,25.0,1990.0,4.0,5.0,1.0,1.0,5.0,1.0,0.18,0.23,0.41,0.14,0.36,4.6,3.8,6.1,0.21,0.28,0.48,0.17,0.45,22.1,70.0,13.0,8.0,18.6,3.17,0.59,0.04,0.23,0.05,-0.6,-0.8,1121.0,1479.0,75.8,20363.0,7417.0,538.0,611.0,88.1,419.0,505.0,83.0,144.0,312.0,46.2,-1.1,80.0,141.0,62.0,8.0,191.0,1247.0,232.0,50.0,9.0,285.0,76.0,42.0,135.0,17.0,22.0,8.0,999.0,165.0,315.0,68.0,1343.0,27.0,26.0,7.0,9.0,22.0,40.0,39.0,143.0,6.47,94.0,31.0,5.0,8.0,2.0,10.0,0.45,4.0,3.0,0.0,2.0,0.0,1.0,46.0,28.0,11.0,28.0,7.0,18.0,61.0,29.5,43.0,590.0,175.0,29.7,111.0,315.0,164.0,32.0,3.0,0.0,29.0,11.0,5.0,0.0,1757.0,12.0,170.0,851.0,901.0,67.0,1527.0,24.0,54.0,44.4,32.0,3.0,1287.0,8185.0,5309.0,1459.0,1235.0,84.6,35.0,46.0,0.0,24.0,24.0,3.0,0.0,0.0,0.0,173.0,12.0,22.0,35.3,2018/2019,SerieA
Raúl Albiol,es ESP,DF,Napoli,32,1985,20.0,19.0,1713.0,1.0,0.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,0.2,0.2,1.0,0.01,0.05,0.06,0.01,0.06,19.0,3.0,1.0,0.0,33.3,0.16,0.05,0.33,1.0,0.06,0.8,0.8,1000.0,1126.0,88.8,24705.0,7512.0,191.0,202.0,94.6,513.0,548.0,93.6,292.0,360.0,81.1,-1.0,5.0,89.0,4.0,1.0,59.0,1094.0,32.0,32.0,1.0,117.0,54.0,3.0,0.0,0.0,0.0,0.0,820.0,112.0,194.0,134.0,917.0,45.0,0.0,5.0,1.0,18.0,3.0,11.0,14.0,0.74,14.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,23.0,17.0,19.0,4.0,0.0,7.0,18.0,38.9,11.0,107.0,35.0,32.7,73.0,31.0,3.0,31.0,18.0,1.0,13.0,18.0,90.0,1.0,1287.0,157.0,594.0,725.0,31.0,7.0,1255.0,1.0,2.0,50.0,1.0,0.0,885.0,4255.0,2292.0,899.0,885.0,98.4,4.0,2.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,193.0,40.0,32.0,55.6,2018/2019,SerieA
Allan,br BRA,MF,Napoli,27,1991,33.0,28.0,2616.0,1.0,3.0,0.0,0.0,10.0,0.0,0.03,0.1,0.14,0.03,0.14,1.1,1.1,3.3,0.04,0.11,0.15,0.04,0.15,29.1,25.0,2.0,0.0,8.0,0.86,0.07,0.04,0.5,0.05,-0.1,-0.1,1981.0,2235.0,88.6,36605.0,9892.0,848.0,931.0,91.1,856.0,932.0,91.8,260.0,324.0,80.2,-0.3,36.0,267.0,37.0,1.0,198.0,2128.0,107.0,69.0,12.0,271.0,43.0,9.0,1.0,0.0,0.0,0.0,1644.0,307.0,284.0,152.0,2006.0,48.0,17.0,9.0,13.0,21.0,38.0,43.0,87.0,2.99,72.0,0.0,7.0,3.0,3.0,9.0,0.31,8.0,0.0,0.0,1.0,0.0,0.0,124.0,92.0,45.0,61.0,18.0,42.0,129.0,32.6,87.0,939.0,264.0,28.1,258.0,536.0,145.0,66.0,9.0,0.0,57.0,16.0,25.0,0.0,2583.0,80.0,551.0,1680.0,519.0,34.0,2489.0,56.0,78.0,71.8,58.0,2.0,2066.0,10334.0,5832.0,1998.0,1886.0,94.4,30.0,38.0,0.0,50.0,61.0,0.0,0.0,0.0,0.0,329.0,8.0,16.0,33.3,2018/2019,SerieA
