player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Season,League
Gennaro Acampora,it ITA,"MF,FW",Spezia,26-275,1994,3.0,2.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.04,0.01,0.05,0.04,0.05,2.3,4.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.02,-0.1,-0.1,68.0,81.0,84.0,1367.0,156.0,23.0,29.0,79.3,32.0,38.0,84.2,12.0,12.0,100.0,0.0,1.0,4.0,1.0,1.0,3.0,79.0,2.0,1.0,0.0,13.0,1.0,2.0,1.0,0.0,0.0,0.0,74.0,3.0,4.0,72.0,7.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,4.0,1.71,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,5.0,1.0,1.0,2.0,50.0,1.0,50.0,9.0,18.0,1.0,36.0,13.0,4.0,1.0,0.0,3.0,2.0,1.0,0.0,111.0,2.0,8.0,75.0,40.0,1.0,109.0,1.0,4.0,25.0,2.0,0.0,79.0,535.0,249.0,97.0,80.0,82.5,1.0,6.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,2020/2021,SerieA
Francesco Acerbi,it ITA,DF,Lazio,32-323,1988,11.0,11.0,927.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.4,0.01,0.04,0.05,0.01,0.05,10.3,2.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.06,-0.1,-0.1,570.0,664.0,85.8,11874.0,3090.0,184.0,205.0,89.8,282.0,302.0,93.4,94.0,137.0,68.6,0.6,4.0,44.0,4.0,4.0,34.0,632.0,32.0,14.0,0.0,75.0,27.0,10.0,0.0,0.0,0.0,0.0,470.0,68.0,126.0,493.0,116.0,30.0,9.0,2.0,2.0,11.0,5.0,9.0,7.0,0.68,7.0,0.0,0.0,0.0,0.0,2.0,0.19,2.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,10.0,9.0,1.0,4.0,16.0,25.0,12.0,135.0,56.0,41.5,81.0,40.0,14.0,22.0,7.0,0.0,15.0,20.0,54.0,0.0,794.0,116.0,389.0,390.0,76.0,5.0,763.0,3.0,4.0,75.0,3.0,0.0,468.0,2886.0,1537.0,507.0,497.0,98.0,5.0,2.0,0.0,10.0,8.0,1.0,0.0,0.0,0.0,142.0,26.0,5.0,83.9,2020/2021,SerieA
Andrea Adorante,it ITA,FW,Parma,20-328,2000,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,15.0,15.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2020/2021,SerieA
Lucien Agoume,fr FRA,MF,Spezia,18-324,2002,3.0,2.0,179.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.03,0.0,0.0,90.0,102.0,88.2,1926.0,425.0,34.0,34.0,100.0,36.0,40.0,90.0,18.0,25.0,72.0,0.0,1.0,10.0,0.0,0.0,8.0,101.0,1.0,1.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,65.0,15.0,22.0,15.0,79.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,30.0,6.0,20.0,10.0,19.0,1.0,4.0,0.0,0.0,4.0,1.0,3.0,0.0,118.0,9.0,38.0,72.0,12.0,1.0,117.0,0.0,0.0,0.0,0.0,0.0,77.0,296.0,109.0,78.0,75.0,96.2,0.0,4.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,32.0,3.0,3.0,50.0,2020/2021,SerieA
Kevin Agudelo,co COL,FW,Spezia,22-045,1998,11.0,5.0,502.0,1.0,0.0,0.0,0.0,1.0,0.0,0.18,0.0,0.18,0.18,0.18,1.3,1.3,0.1,0.24,0.01,0.25,0.24,0.25,5.6,10.0,4.0,0.0,40.0,1.79,0.72,0.1,0.25,0.13,-0.3,-0.3,100.0,131.0,76.3,1984.0,362.0,42.0,47.0,89.4,39.0,52.0,75.0,18.0,24.0,75.0,-0.1,1.0,10.0,2.0,0.0,9.0,128.0,3.0,0.0,0.0,33.0,6.0,2.0,2.0,0.0,0.0,0.0,91.0,24.0,16.0,113.0,13.0,0.0,1.0,0.0,0.0,5.0,1.0,7.0,11.0,1.97,4.0,1.0,2.0,1.0,1.0,2.0,0.36,1.0,0.0,0.0,1.0,0.0,0.0,20.0,9.0,5.0,12.0,3.0,6.0,16.0,37.5,10.0,144.0,37.0,25.7,29.0,65.0,50.0,7.0,0.0,0.0,7.0,2.0,2.0,0.0,225.0,1.0,26.0,121.0,106.0,19.0,222.0,16.0,26.0,61.5,16.0,2.0,175.0,1454.0,917.0,213.0,156.0,73.2,17.0,12.0,0.0,7.0,10.0,2.0,0.0,0.0,0.0,26.0,6.0,15.0,28.6,2020/2021,SerieA
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28-079,1992,12.0,2.0,427.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.08,0.09,0.17,0.08,0.17,4.7,4.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.09,-0.4,-0.4,123.0,155.0,79.4,2219.0,415.0,63.0,75.0,84.0,46.0,55.0,83.6,13.0,17.0,76.5,-0.4,4.0,10.0,5.0,0.0,14.0,152.0,3.0,2.0,1.0,24.0,4.0,1.0,0.0,0.0,0.0,0.0,112.0,27.0,16.0,32.0,116.0,4.0,0.0,1.0,1.0,5.0,4.0,7.0,8.0,1.69,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16.0,10.0,14.0,1.0,5.0,12.0,41.7,7.0,161.0,52.0,32.3,47.0,83.0,31.0,14.0,4.0,0.0,10.0,10.0,5.0,0.0,228.0,8.0,56.0,124.0,67.0,12.0,225.0,13.0,16.0,81.3,13.0,3.0,161.0,1018.0,471.0,147.0,117.0,79.6,7.0,8.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,50.0,3.0,2.0,60.0,2020/2021,SerieA
Luis Alberto,es ESP,MF,Lazio,28-092,1992,12.0,12.0,949.0,3.0,0.0,0.0,0.0,3.0,0.0,0.28,0.0,0.28,0.28,0.28,1.8,1.7,2.6,0.17,0.24,0.41,0.16,0.4,10.5,24.0,9.0,2.0,37.5,2.28,0.85,0.13,0.33,0.07,1.2,1.3,545.0,702.0,77.6,10370.0,4039.0,235.0,260.0,90.4,215.0,267.0,80.5,85.0,151.0,56.3,-2.6,28.0,97.0,35.0,2.0,97.0,600.0,102.0,24.0,5.0,116.0,25.0,14.0,50.0,23.0,13.0,8.0,494.0,85.0,123.0,28.0,655.0,5.0,12.0,2.0,2.0,8.0,11.0,16.0,47.0,4.46,32.0,13.0,2.0,0.0,0.0,1.0,0.09,0.0,0.0,1.0,0.0,0.0,0.0,18.0,13.0,6.0,9.0,3.0,5.0,25.0,20.0,20.0,200.0,60.0,30.0,50.0,104.0,46.0,16.0,0.0,0.0,16.0,6.0,2.0,0.0,830.0,3.0,106.0,464.0,353.0,16.0,731.0,26.0,41.0,63.4,30.0,4.0,588.0,4110.0,2671.0,660.0,586.0,88.8,18.0,23.0,0.0,7.0,12.0,1.0,0.0,0.0,0.0,95.0,0.0,4.0,0.0,2020/2021,SerieA
Bruno Alves,pt POR,DF,Parma,39-032,1981,11.0,11.0,990.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.0,0.01,0.01,0.01,11.0,4.0,2.0,2.0,50.0,0.36,0.18,0.0,0.0,0.02,-0.1,-0.1,465.0,524.0,88.7,12100.0,3735.0,67.0,73.0,91.8,245.0,265.0,92.5,150.0,182.0,82.4,0.0,0.0,27.0,0.0,0.0,19.0,507.0,17.0,15.0,0.0,34.0,27.0,3.0,0.0,0.0,0.0,0.0,370.0,52.0,102.0,85.0,401.0,20.0,1.0,2.0,3.0,5.0,2.0,1.0,3.0,0.27,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,3.0,0.0,4.0,10.0,40.0,6.0,72.0,21.0,29.2,50.0,20.0,2.0,17.0,11.0,0.0,6.0,5.0,64.0,0.0,626.0,121.0,376.0,276.0,18.0,12.0,607.0,0.0,2.0,0.0,0.0,0.0,350.0,2088.0,1132.0,430.0,423.0,98.4,1.0,0.0,0.0,10.0,5.0,1.0,0.0,0.0,0.0,85.0,21.0,3.0,87.5,2020/2021,SerieA
Sofyan Amrabat,ma MAR,MF,Fiorentina,24-130,1996,13.0,13.0,1137.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.03,0.02,0.05,0.03,0.05,12.6,6.0,2.0,0.0,33.3,0.47,0.16,0.0,0.0,0.06,-0.4,-0.4,666.0,743.0,89.6,13886.0,2835.0,234.0,264.0,88.6,296.0,318.0,93.1,125.0,140.0,89.3,-0.2,7.0,64.0,10.0,4.0,53.0,707.0,36.0,26.0,0.0,95.0,30.0,4.0,0.0,0.0,0.0,0.0,589.0,53.0,101.0,56.0,660.0,18.0,2.0,1.0,3.0,6.0,9.0,15.0,18.0,1.42,17.0,0.0,0.0,1.0,0.0,1.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,27.0,16.0,8.0,15.0,4.0,10.0,30.0,33.3,20.0,268.0,76.0,28.4,77.0,148.0,43.0,22.0,5.0,0.0,17.0,7.0,7.0,0.0,866.0,25.0,161.0,599.0,162.0,5.0,835.0,19.0,23.0,82.6,19.0,1.0,653.0,4014.0,1510.0,649.0,612.0,94.3,8.0,32.0,0.0,26.0,21.0,0.0,0.0,0.0,0.0,149.0,7.0,15.0,31.8,2020/2021,SerieA
Djavan Anderson,nl NED,DF,Lazio,25-252,1995,2.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,27.0,70.4,251.0,69.0,12.0,13.0,92.3,6.0,9.0,66.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,6.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,9.0,3.0,2.0,17.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,1.0,10.0,1.0,7.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,1.0,6.0,16.0,14.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,21.0,160.0,84.0,20.0,16.0,80.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0,2020/2021,SerieA
