player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Season,League
Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,28.0,25.0,2184.0,5.0,1.0,0.0,0.0,7.0,0.0,0.21,0.04,0.25,0.21,0.25,3.1,3.1,1.5,0.13,0.06,0.19,0.13,0.19,24.3,33.0,12.0,4.0,36.4,1.36,0.49,0.15,0.42,0.09,1.9,1.9,845.0,1116.0,75.7,15182.0,7109.0,363.0,411.0,88.3,377.0,471.0,80.0,88.0,183.0,48.1,-0.5,17.0,58.0,28.0,7.0,101.0,895.0,221.0,21.0,0.0,183.0,21.0,42.0,11.0,0.0,1.0,0.0,682.0,131.0,303.0,717.0,175.0,30.0,189.0,4.0,3.0,24.0,19.0,37.0,41.0,1.69,23.0,11.0,4.0,1.0,1.0,3.0,0.12,2.0,0.0,1.0,0.0,0.0,0.0,48.0,30.0,33.0,13.0,2.0,21.0,38.0,55.3,17.0,253.0,78.0,30.8,159.0,71.0,23.0,36.0,5.0,0.0,31.0,36.0,56.0,2.0,1369.0,83.0,448.0,578.0,437.0,39.0,1148.0,17.0,26.0,65.4,20.0,0.0,767.0,4832.0,2651.0,765.0,709.0,92.7,23.0,17.0,0.0,18.0,10.0,3.0,0.0,0.0,0.0,225.0,2.0,6.0,25.0,2017/2018,Premier League
Rolando Aarons,eng ENG,"FW,MF",Newcastle Utd,21,1995,4.0,1.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.1,0.0,0.1,0.1,0.1,1.5,2.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.08,-0.2,-0.2,27.0,41.0,65.9,408.0,88.0,17.0,22.0,77.3,8.0,11.0,72.7,1.0,4.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,41.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,31.0,6.0,4.0,29.0,8.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,1.0,1.0,2.0,4.0,50.0,2.0,34.0,8.0,23.5,13.0,16.0,5.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,68.0,0.0,14.0,33.0,27.0,3.0,68.0,2.0,3.0,66.7,2.0,0.0,48.0,328.0,225.0,59.0,39.0,66.1,4.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,12.0,2.0,2.0,50.0,2017/2018,Premier League
Tammy Abraham,eng ENG,"FW,MF",Swansea City,19,1997,31.0,15.0,1726.0,5.0,1.0,0.0,0.0,0.0,0.0,0.26,0.05,0.31,0.26,0.31,6.3,6.3,0.7,0.33,0.04,0.37,0.33,0.37,19.2,43.0,14.0,0.0,32.6,2.24,0.73,0.12,0.36,0.15,-1.3,-1.3,208.0,309.0,67.3,3094.0,683.0,123.0,159.0,77.4,63.0,95.0,66.3,13.0,28.0,46.4,0.3,10.0,19.0,7.0,3.0,19.0,290.0,19.0,0.0,0.0,102.0,7.0,11.0,0.0,0.0,0.0,0.0,202.0,49.0,58.0,24.0,222.0,35.0,1.0,7.0,0.0,6.0,11.0,14.0,32.0,1.68,20.0,0.0,6.0,3.0,2.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,11.0,5.0,3.0,4.0,4.0,1.0,13.0,7.7,12.0,178.0,58.0,32.6,14.0,67.0,97.0,12.0,4.0,0.0,8.0,4.0,7.0,0.0,535.0,11.0,42.0,246.0,275.0,72.0,516.0,26.0,45.0,57.8,27.0,0.0,368.0,2413.0,1041.0,691.0,392.0,56.7,60.0,35.0,0.0,15.0,27.0,9.0,0.0,0.0,0.0,61.0,30.0,30.0,50.0,2017/2018,Premier League
Charlie Adam,sco SCO,MF,Stoke City,31,1985,11.0,5.0,411.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,1.3,0.32,0.28,0.59,0.15,0.43,4.6,9.0,2.0,2.0,22.2,1.97,0.44,0.0,0.0,0.07,-1.4,-0.7,169.0,281.0,60.1,4382.0,1565.0,31.0,45.0,68.9,81.0,97.0,83.5,57.0,130.0,43.8,-1.3,7.0,28.0,7.0,4.0,27.0,254.0,27.0,14.0,1.0,59.0,17.0,14.0,9.0,0.0,0.0,1.0,132.0,29.0,120.0,216.0,40.0,17.0,4.0,0.0,5.0,12.0,7.0,11.0,20.0,4.42,9.0,3.0,2.0,2.0,3.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,2.0,5.0,2.0,5.0,14.0,35.7,9.0,45.0,8.0,17.8,13.0,27.0,5.0,5.0,0.0,0.0,5.0,2.0,9.0,0.0,330.0,10.0,63.0,205.0,93.0,5.0,305.0,7.0,8.0,87.5,7.0,1.0,216.0,1255.0,561.0,222.0,205.0,92.3,6.0,3.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,61.0,5.0,1.0,83.3,2017/2018,Premier League
Adrián,es ESP,GK,West Ham,30,1987,19.0,19.0,1710.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,430.0,43.5,8869.0,6770.0,9.0,9.0,100.0,41.0,44.0,93.2,137.0,377.0,36.3,0.0,0.0,14.0,0.0,0.0,0.0,276.0,154.0,33.0,0.0,52.0,18.0,0.0,0.0,0.0,0.0,0.0,67.0,9.0,354.0,15.0,332.0,0.0,0.0,32.0,3.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,553.0,485.0,548.0,7.0,0.0,0.0,401.0,0.0,0.0,0.0,0.0,0.0,241.0,1839.0,1111.0,171.0,171.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,2017/2018,Premier League
Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,6.0,1.0,166.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,81.0,86.4,1374.0,220.0,28.0,33.0,84.8,30.0,34.0,88.2,12.0,14.0,85.7,0.0,0.0,7.0,0.0,0.0,4.0,80.0,1.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,72.0,3.0,6.0,21.0,55.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,23.0,6.0,26.1,13.0,10.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,89.0,0.0,23.0,60.0,15.0,1.0,88.0,1.0,1.0,100.0,1.0,1.0,74.0,441.0,148.0,69.0,64.0,92.8,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2017/2018,Premier League
Benik Afobe,cd COD,"FW,MF",Bournemouth,24,1993,17.0,5.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,0.24,0.01,0.25,0.24,0.25,6.8,8.0,3.0,0.0,37.5,1.18,0.44,0.0,0.0,0.18,-1.4,-1.4,106.0,145.0,73.1,1270.0,143.0,75.0,100.0,75.0,23.0,29.0,79.3,3.0,4.0,75.0,-0.1,2.0,7.0,3.0,0.0,6.0,138.0,7.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,23.0,20.0,33.0,78.0,10.0,0.0,7.0,0.0,5.0,3.0,4.0,8.0,1.35,5.0,0.0,1.0,1.0,1.0,1.0,0.17,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,2.0,0.0,1.0,7.0,14.3,6.0,112.0,33.0,29.5,8.0,52.0,52.0,11.0,1.0,0.0,10.0,1.0,6.0,0.0,224.0,7.0,20.0,96.0,122.0,28.0,217.0,4.0,5.0,80.0,4.0,0.0,134.0,954.0,384.0,290.0,164.0,56.6,26.0,8.0,0.0,9.0,13.0,4.0,1.0,0.0,0.0,24.0,17.0,24.0,41.5,2017/2018,Premier League
Sergio Agüero,ar ARG,FW,Manchester City,29,1988,25.0,22.0,1963.0,21.0,6.0,4.0,4.0,2.0,0.0,0.96,0.28,1.24,0.78,1.05,16.6,13.6,5.9,0.76,0.27,1.03,0.62,0.89,21.8,92.0,38.0,1.0,41.3,4.22,1.74,0.18,0.45,0.15,4.4,3.4,530.0,647.0,81.9,6771.0,1148.0,352.0,396.0,88.9,143.0,179.0,79.9,11.0,16.0,68.8,0.1,37.0,20.0,27.0,1.0,43.0,621.0,26.0,0.0,2.0,168.0,4.0,17.0,1.0,0.0,0.0,0.0,521.0,69.0,57.0,77.0,544.0,15.0,3.0,5.0,3.0,7.0,20.0,20.0,76.0,3.47,57.0,0.0,7.0,7.0,3.0,11.0,0.5,9.0,0.0,1.0,0.0,0.0,0.0,8.0,5.0,2.0,5.0,1.0,1.0,10.0,10.0,9.0,262.0,70.0,26.7,13.0,86.0,163.0,14.0,2.0,0.0,12.0,8.0,4.0,0.0,930.0,9.0,45.0,322.0,628.0,178.0,899.0,31.0,51.0,60.8,42.0,0.0,669.0,5031.0,2639.0,1123.0,743.0,66.2,49.0,56.0,0.0,10.0,17.0,16.0,0.0,0.0,0.0,90.0,6.0,15.0,28.6,2017/2018,Premier League
Nathan Aké,nl NED,DF,Bournemouth,22,1995,38.0,37.0,3353.0,2.0,3.0,0.0,0.0,5.0,0.0,0.05,0.08,0.13,0.05,0.13,2.4,2.4,1.8,0.06,0.05,0.11,0.06,0.11,37.3,21.0,8.0,0.0,38.1,0.56,0.21,0.1,0.25,0.11,-0.4,-0.4,1325.0,1615.0,82.0,27857.0,10035.0,390.0,447.0,87.2,698.0,816.0,85.5,226.0,320.0,70.6,1.2,7.0,79.0,3.0,0.0,73.0,1576.0,39.0,29.0,0.0,200.0,22.0,7.0,0.0,0.0,0.0,0.0,1148.0,137.0,330.0,1185.0,183.0,194.0,10.0,6.0,2.0,37.0,17.0,21.0,21.0,0.56,17.0,0.0,1.0,0.0,2.0,4.0,0.11,4.0,0.0,0.0,0.0,0.0,0.0,50.0,27.0,33.0,14.0,3.0,18.0,33.0,54.5,15.0,308.0,94.0,30.5,213.0,78.0,17.0,68.0,28.0,0.0,40.0,38.0,201.0,1.0,2024.0,304.0,1310.0,741.0,110.0,47.0,1986.0,5.0,6.0,83.3,5.0,0.0,1089.0,7279.0,3821.0,1097.0,1058.0,96.4,8.0,7.0,0.0,27.0,19.0,2.0,0.0,0.0,0.0,465.0,61.0,54.0,53.0,2017/2018,Premier League
Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,34.0,30.0,2538.0,2.0,7.0,0.0,0.0,5.0,1.0,0.07,0.25,0.32,0.07,0.32,1.4,1.4,4.8,0.05,0.17,0.22,0.05,0.22,28.2,21.0,6.0,1.0,28.6,0.74,0.21,0.1,0.33,0.07,0.6,0.6,747.0,1260.0,59.3,15729.0,6874.0,287.0,361.0,79.5,288.0,412.0,69.9,156.0,411.0,38.0,2.2,42.0,105.0,38.0,16.0,103.0,1116.0,144.0,27.0,3.0,223.0,95.0,138.0,64.0,16.0,3.0,1.0,645.0,133.0,482.0,121.0,1056.0,26.0,50.0,2.0,8.0,52.0,32.0,71.0,65.0,2.3,47.0,14.0,2.0,1.0,1.0,13.0,0.46,12.0,1.0,0.0,0.0,0.0,0.0,49.0,30.0,23.0,19.0,7.0,18.0,53.0,34.0,35.0,450.0,113.0,25.1,184.0,161.0,105.0,48.0,5.0,0.0,43.0,25.0,25.0,0.0,1559.0,60.0,348.0,655.0,671.0,35.0,1418.0,52.0,85.0,61.2,53.0,6.0,1069.0,7257.0,3312.0,1149.0,968.0,84.2,47.0,30.0,0.0,20.0,25.0,1.0,0.0,1.0,0.0,243.0,6.0,11.0,35.3,2017/2018,Premier League
